key_resp.keys,key_resp.rt,sleep_kb.keys,sleep_kb.rt,stress_slide.response,stress_slide.rt,inst_1_1_kb.keys,inst_1_1_kb.rt,inst_1_1_1_kb.keys,inst_1_1_1_kb.rt,inst_1_2_kb.keys,inst_1_2_kb.rt,inst_1_3_kb.keys,inst_1_3_kb.rt,target_kb.keys,targetOnset,PRATICA.thisRepN,PRATICA.thisTrialN,PRATICA.thisN,PRATICA.thisIndex,PRATICA.ran,target_col,cue_col,participant,condition,session,date,expName,psychopyVersion,OS,frameRate,target_kb.rt,inst2_kb.keys,inst2_kb.rt,start_run,TRIAL.thisRepN,TRIAL.thisTrialN,TRIAL.thisN,TRIAL.thisIndex,TRIAL.ran,LW_P,RUN,B
p,26.6999,3,18.2554,3.016667048,10.8843,p,28.7366,p,13.4205,p,10.0359,p,19.4014,,0.0663,0,0,0,0,1,nogo.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0657,0,1,1,1,1,go.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.7288,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0664,0,2,2,2,1,nogo.png,cue1.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0503,0,3,3,3,1,nogo.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0655,0,4,4,4,1,go.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.3114,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.066,0,5,5,5,1,go.png,cue1.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.5172,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0656,0,6,6,6,1,go.png,cue1.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.4005,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0663,0,7,7,7,1,go.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.3342,,,,,,,,,,,
,,,,,,,,,,,,,,,0.066,0,8,8,8,1,nogo.png,cue2.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0655,0,9,9,9,1,nogo.png,cue1.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0662,0,10,10,10,1,go.png,cue1.png,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.3885,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0662,,,,,,nogo.png,,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,p,10.6837,1,0,0,0,0,1,0.2,1,1
,,,,,,,,,,,,,,,0.0667,,,,,,nogo.png,,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,1,0,1,1,1,1,0.2,1,1
,,,,,,,,,,,,,,space,0.0659,,,,,,go.png,,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,0.3523,,,1,0,2,2,2,1,0.2,1,1
,,,,,,,,,,,,,,,0.0661,,,,,,nogo.png,,GNG85,SD,1,2023-10-18_10h35.03.656,Cued_GNG,2022.2.5,Win32,60.09254252,,,,1,0,3,3,3,1,0.2,1,1
