key_resp.keys,key_resp.rt,sleep_kb.keys,sleep_kb.rt,stress_slide.response,stress_slide.rt,inst_1_1_kb.keys,inst_1_1_kb.rt,inst_1_1_1_kb.keys,inst_1_1_1_kb.rt,inst_1_2_kb.keys,inst_1_2_kb.rt,inst_1_3_kb.keys,inst_1_3_kb.rt,target_kb.keys,targetOnset,target_kb.rt,PRATICA.thisRepN,PRATICA.thisTrialN,PRATICA.thisN,PRATICA.thisIndex,PRATICA.ran,target_col,cue_col,participant,condition,session,date,expName,psychopyVersion,OS,frameRate,inst2_kb.keys,inst2_kb.rt,start_run,TRIAL.thisRepN,TRIAL.thisTrialN,TRIAL.thisN,TRIAL.thisIndex,TRIAL.ran,LW_P,RUN,B
p,61.3285,4,42.9588,5.99,24.4125,p,21.6948,p,8.0122,p,13.3637,p,11.5434,space,0.0632,0.4868,0,0,0,0,1,nogo.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0665,,0,1,1,1,1,go.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.064,0.2978,0,2,2,2,1,nogo.png,cue1.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0565,,0,3,3,3,1,nogo.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0729,0.3188,0,4,4,4,1,go.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0711,0.4132,0,5,5,5,1,go.png,cue1.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0601,0.4123,0,6,6,6,1,go.png,cue1.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0597,0.4052,0,7,7,7,1,go.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,,0.0692,,0,8,8,8,1,nogo.png,cue2.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
,,,,,,,,,,,,,,space,0.0608,0.3332,0,9,9,9,1,nogo.png,cue1.png,GNG102,sd,1,2023-12-08_10h47.56.202,Cued_GNG,2022.2.5,Win32,68.55889209,,,,,,,,,,,
